,lyrics
87," I can't get no satisfaction I can't get no satisfaction And I try, and I try, and I try, and I try I can't get no satisfaction When I'm drivin' in my car And that man comes on the radio He's tellin' me more and more About some useless information Supposed to fire my imagination I can't get no, oh no no no Hey hey hey, this what I say I can't get no satisfaction I can't get no reaction And I try, and I try, and I try, and I try, baby I can't get no I can't get no satisfaction When I'm watchin' my TV And that girl comes on and tells me How tight my skirts should be She can't tell me who to be 'Cause I've got my own identity I can't get no, oh no no no I can't get no uh, satisfaction I can't get no uh, satisfaction I can't get no uh, satisfaction I can't get no uh, satisfaction And I try, and I try, and I try, and I try I just can't get no I can't get no (ooh yeah yeah yeah), satisfaction (no, no, no) I can't get no (I can't get no), satisfaction I can't get no satisfaction I can't get no (I can't get no) satisfaction I can't get no (I can't get no) satisfaction (I need your satisfaction) I can't get no (ooh baby) satisfaction I can't get no I can't get no (no matter what I do, no matter what I say) Satisfaction (everywhere I go they say it's not okay) I can't get no (no matter what I do, no matter what I say) Satisfaction (everywhere I go they say it's not okay) I can't get no satisfaction (this is what I say) I can't get no, I can't get no satisfaction, baby I can't get no 9I can't get no satisfaction, baby)"
88," Superstar Where you from, how's it going? I know you Gotta clue, what you're doing? You can play brand new to all the other chicks out here But I know what you are, what you are, baby Look at you Gettin' more than just re-up Baby, you Got all the puppets with their strings up Faking like a good one, but I call 'em like I see 'em I know what you are, what you are, baby Womanizer, Woman, Womanizer You're a Womanizer, oh Womanizer oh You're a Womanizer, baby You you you are, You you you are Womanizer, Womanizer, Womanizer (Womanizer) Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You got me goin' You're oh so charmin' But I can do it Womanizer Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You say I'm crazy I got your crazy You're nothin' but a Womanizer Daddy-O You got the swagger of champion Too bad for you You just can't find the right companion I guess when you have one too many, makes it hard It could be easy, who you are That's just who you are, baby Lollipop Must mistake me, you're a sucker To think that I Would be a victim not another Say it, play it how you wanna But no way I'm ever gonna fall for you, never you, baby Womanizer, Woman, Womanizer You're a Womanizer, oh Womanizer oh You're a Womanizer, baby You you you are, You you you are Womanizer, Womanizer, Womanizer (Womanizer) Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You got me goin' You're oh so charmin' But I can do it You Womanizer Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You say I'm crazy I got your crazy You're nothin' but a Womanizer Maybe if we both lived in a different world (Womanizer, Womanizer, Womanizer, Womanizer) It would be all good, And maybe I could be your girl, but I can't cause we don't Womanizer, Woman, Womanizer You're a Womanizer, oh Womanizer oh You're a Womanizer, baby You you you are, you you you are Womanizer, Womanizer, Womanizer (Womanizer) Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You got me goin' You're oh so charmin' But I can do it Womanizer Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You say I'm crazy I got your crazy You're nothin' but a Womanizer Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are Womanizer, Woman, Womanizer You're a Womanizer Oh Womanizer oh You're a Womanizer, baby"
89," This is a story about a girl named Lucky Early morning, she wakes up Knock, knock, knock on the door It's time for make-up, perfect smile It's you they're all waiting for They go Isn't she lovely, this Hollywood girl? And they say She's so lucky, she's a star But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night? Lost in an image, in a dream But there's no one there to wake her up And the world is spinning, and she keeps on winning But tell me what happens when it stops? They go Isn't she lovely, this Hollywood girl? And they say She's so lucky, she's a star But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night? Best actress, and the winner is Lucky I'm Roger Johnson for Pop News standing outside the arena waiting for Lucky Oh my god here she comes Isn't she lovely, this Hollywood girl? She is so lucky, but why does she cry? If there is nothing missing in her life Why do tears come at night? And they say she's so lucky, she's a star But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night? She's so lucky But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night?"
90," So wicked In the way he moves Don't miss it Do not be a fool It's a long way It's a long way home Light inside of me It ignites my bones He comes to me in my dreams And tells me what I need to know He makes me feel sweaty And guides me to the lights above I just wanna fall into his arms tonight Someone tell me I, I will be alright Hold on tight Remembering, I forever will Surrendering, just to how we felt It's a long way It's a long way home Light inside of me It ignites my bones He comes to me in my dreams And tells me what I need to know He makes me feel sweaty And guides me to the lights above I just wanna fall into his arms tonight Someone tell me I, I will be alright Hold on tight And when it's all the thunder and rain The cinema is fading away I gotta make my way through the night Holding on with all of my might And when I'm lost, and I can't the find the way I feel the pieces breaking away Hug myself with all of my might Don't let go just hold on tight (Tight) He comes to me in my dreams And tells me what I need to know He makes me feel sweaty And guides me to the lights above I just wanna fall into his arms tonight Someone tell me I, I will be alright Hold on tight"
91," There's only two types of people in the world The ones that entertain, and the ones that observe Well baby I'm a put-on-a-show kinda girl Don't like the backseat, gotta be first I'm like the ringleader I call the shots (call the shots) I'm like a firecracker I make it hot When I put on a show I feel the adrenaline moving through my veins Spotlight on me and I'm ready to break I'm like a performer, the dance floor is my stage Better be ready, hope ya feel the same All the eyes on me in the center of the ring Just like a circus When I crack that whip, everybody goin' trip Just like a circus Don't stand there watching me, follow me Show me what you can do Everybody let go, we can make a dance floor Just like a circus There's only two types of guys out there, Ones that can hang with me, and ones that are scared So baby I hope that you came prepared I run a tight ship so, beware I'm like the ringleader I call the shots I'm like a firecracker I make it hot When I put on a show I feel the adrenaline moving through my veins Spotlight on me and I'm ready to break I'm like a performer, the dance floor is my stage Better be ready, hope that ya feel the same All the eyes on me in the center of the ring Just like a circus When I crack that whip, everybody goin' trip Just like a circus Don't stand there watching me, follow me Show me what you can do Everybody let go, we can make a dance floor Just like a circus Let's go Let me see what you can do I'm runnin' this (like, like, like, like a circus) Yeah Like a what? (like, like, like, like a circus) All the eyes on me in the center of the ring Just like a circus When I crack that whip, everybody goin' trip Just like a circus Don't stand there watching me, follow me Show me what you can do Everybody let go, we can make a dance floor Just like a circus All the eyes on me in the center of the ring Just like a circus When I crack that whip, everybody goin' trip Just like a circus Don't stand there watching me, follow me Show me what you can do Everybody let go, we can make a dance floor Just like a circus"
92," You got sex siren in your face Let me get up on it, let me get up on it, let me get up on it Talk dirty to me babe, every time I want it Every time I want it, every time I want it Hush, please no more games No more of the same thing Been thinking maybe could he Make me scream his name And give me the right aim Boy, can you tame these goodies? Baby make me tik tik tik tik tik tik boom Tik tik tik tik tik tik Baby make me tik tik tik tik tik tik boom Not too slow and not too quick Baby make me tik tik boom Tik tik tik tik tik tik boom Tik tik tik tik tik tik tik tik Baby make me tik tik tik tik tik tik boom Not too slow and not too quick Baby make me tik tik boom Watch your mouth, lock it up Why you wanna flaunt it Why you wanna flaunt it, why you wanna flaunt it The earth turns, switch it up let me get up on it Let me get up on it, let me get up on it Hush, please no more games No more of the same thing Been thinking maybe could he Make me scream his name And give me the right aim Boy, can you tame these goodies? Baby make me tik tik tik tik tik tik boom Tik tik tik tik tik tik Baby make me tik tik tik tik tik tik boom Not too slow and not too quick Baby make me tik tik boom Turn it Ey, come here for a minute, let me taste you baby Light your fuel detonate you baby Got my brain have you going insane My dynamite stick known to drive chick crazy baby While you laying on your back with your feet up Right there in my wife beater She like the way I eat her, beat her, beat her Treat her like an animal somebody call PETA Put a little bit of this inside a margarita Then put your thing in her have her running like a meter On a cab in the city where the girls are pretty Find me in the club where the girls get busy With a flask on a fat booty, nice shaped titties My wrist so froze you could ice skate with it Give it to you til you curlin' your toes Get your ass out your clothes, sit back and behold the explosion Baby make me tik tik tik tik tik tik boom Tik tik tik tik tik tik Baby make me tik tik tik tik tik tik boom Not too slow and not too quick Baby make me tik tik boom Tik tik tik tik tik tik boom Tik tik tik tik tik tik Baby make me tik tik tik tik tik tik boom Not too slow and not too quick Baby make me tik tik boom"
93," Ooh hey, yeah Hush, just stop There's nothing you can do or say, baby I've had enough I'm not your property as from today, baby You might think that I won't make it on my own But now I'm Stronger than yesterday Now it's nothing but my way My loneliness ain't killing me no more I, I'm stronger Then I ever thought that I could be, baby I used to go with the flow Didn't really care 'bout me You might think that I can't take it, but you're wrong 'Cause now I'm Stronger than yesterday Now it's nothing but my way My loneliness ain't killing me no more I, I'm stronger Come on, now Oh, yeah Here I go, on my own I don't need nobody, better off alone Here I go, on my own now I don't need nobody, not anybody Here I go, here I go Alright, here I go Stronger than yesterday It's nothing but my way My loneliness ain't killing me no more I, I'm stronger Stronger than yesterday Now it's nothing but my way My loneliness ain't killing me no more Now I'm stronger than yesterday Now it's nothing but my way My loneliness ain't killing me no more (no more) I, I'm stronger"
94," Burn it all down Need to buy another round Till they light up in the sound of the speaker Knee socks Need tequila on the rocks Till you make your body pops to the speaker Burn it all down Need to buy another round Till they light up in the sound of the speaker Show your knee socks Put tequila on the rocks Till you make your body pops to the speaker (I wanna go) downtown where my posse's at (Because I got) nine lives like a kitty cat (You wanna roll, that's how I roll) (I wanna go) ding-ding when I hear that bass (I'm gonna do) my thing if you wanna taste (You better know, that's how I roll) Feel the earthquake Gonna make your body shake Till the seconds start to break in the speaker Can we get flow Helicopter in the sky 'Cause we turn it up high in the speaker If you know what it takes to be my man We can go make love together You can be my fuck tonight We can tear it up tonight (I wanna go) downtown where my posse's at (Because I got) nine lives like a kitty cat (You wanna roll, that's how I roll) (I wanna go) ding-ding when I hear that bass (I'm gonna do) my thing if you wanna taste (You better know, that's how I roll) Shimmy shimmy oh Shimmy oh shimmy hey We could give them what they want Or we could take it away Try to love tonight We can tear it up tonight If you know what it takes to be my man We can go make love together You can be my fuck tonight We can tear it up tonight (I wanna go) downtown where my posse's at (Because I got) nine lives like a kitty cat (You wanna roll, that's how I roll) (I wanna go) ding-ding when I hear that bass (I'm gonna do) my thing if you wanna taste (You better know, that's how I roll)"
95," Calling out your name Your face is everywhere I'm reaching out to you To find that you're not there I wake up every night To see the state I'm in It's like an endless fight I never seem to win I can't go on as long as I believe Can't let go when I keep wondering Where are you now, what have you found Where is your heart, when I'm not around Where are you now, you gotta let me know Oh baby, so I can let you go I can hear your voice The ring of yesterday It seems so close to me But yet so far away I should let it out To save what's left of me And close the doors of doubt Revive my dignity But, I can't go on as long as I believe (as long as I believe) Can't let go when I keep wondering Where are you now, what have you found Where is your heart, when I'm not around Tell me, where are you now, you gotta let me know Oh baby, so I can let you go I should let it out, it's time to let you go Oh baby, I just wanna to know Where are you now, what have you found Where is your heart (where is your heart), when I'm not around (I'm not around) Where are you now, you gotta let me know Oh baby, so I can let you go Where are you now (where are you now), what have you found (what have you found) Where is your heart (where is your heart), when I'm not around (I'm not around) Where are you now (where are you now), you gotta let me know (you gotta let me know) Oh baby, so I can let you go"
96," Do you know what it's like? Come on, come on Baby tell me Do I look like the kind of girl That you want to take home Want to make me your own Do you even know what I like Just what I'm living for What I adore Baby, take the time to realize I'm Not the kind to sacrifice The way I am So if you want to be my man (baby) Walk a mile in my shoes Do me right or I'm through Can't you see that If you want to stay around (I'm telling you) You've got to figure me out Take your time or you lose This is my game, my rules And I can see, obviously Baby you don't know What it’s like to be me Do you know what it’s like? Do you know what it’s like? Don't you get it twisted boy I want you too But you got my heart to win Before I let you in And this deceives you baby I'm not the average lady I need someone to love Baby, take the time to realize I'm Not the kind to sacrifice The way I am So if you want to be my man (baby) Walk a mile in my shoes Do me right or I'm through Can't you see that If you want to stay around (I'm telling you) You've got to figure me out Take your time or you lose This is my game, my rules And I can see, obviously Baby you don't know What it’s like to be me Baby, get to know me Then you can show me That your love for me is true I'll give you everything That a girl can give Don't you want to be my man? Walk a mile in my shoes Do me right or I'm through Can't you see that If you want to stay around (I'm telling you) You've got to figure me out Take your time or you lose This is my game, my rules And I can see, obviously Baby you don't know What it’s like to be me Walk a mile in my shoes Do me right or I'm through Can't you see that If you want to stay around (I'm telling you) You've got to figure me out Take your time or you lose This is my game, my rules And I can see, obviously Baby you don't know What it’s like to be me"
97," Baby, can't you see I'm calling A guy like you Should wear a warning It's dangerous I'm fallin' There's no escape I can't hide I need a hit Baby, give me it You're dangerous I'm lovin' it Too high Can't come down Losing my head Spinning 'round and 'round Do you feel me now With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic It's getting late To give it up I took a sip From my devil cup Slowly It's taking over me Too high Can't come down It's in the air And it's all around Can you feel me now With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic Don't you know that you're toxic Taste of my lips and having fun With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic I'm intoxicated now I think you'll love it now I think I'm ready now I think I'm ready now I'm intoxicated now I think you'll love it now I think I'm ready now"
98," I think I see confetti from this potion Pillow fights and feathers, overdosin' Smells like a cologne and candy lotion Like a slumber party Sheets all on the floor just like an ocean Building up your fortress like a mountain Neighbors say we're causing a commotion Like a slumber party No, n-no, no, you and I, I, I We ain't gonna sleep tonigh-igh-ight Oh baby, no, n-no, no, you and I, I, I We ain't gonna sleep tonight 'Cause we got them candles hanging Hanging from the ceiling low We use our bodies to make our own videos Put on our music that makes us go fucking crazy, oh Go crazy, oh Like a slumber party Like a slumber party Like a slumber party Let's fill up this clawfoot bath with bubbles Loving me so hard it's causing trouble If there's seven minutes in heaven make it double, triple Like a slumber party No, n-no, no, you and I, I, I We ain't gonna sleep tonigh-igh-ight Oh baby, no, n-no, no, you and I, I, I We ain't gonna sleep tonight 'Cause we got them candles hanging Hanging from the ceiling low We use our bodies to make our own videos Put on our music that makes us go fucking crazy, oh Go crazy, oh Like a slumber party We got them candles hanging Hanging from the ceiling low We use our bodies to make our own videos Put on our music that makes us go fucking crazy, oh (Crazy, oh) Go crazy, oh Like a slumber party Like a slumber party A slumber party, yeah Like a slumber party No, n-no, no, you and I, I, I We ain't gonna sleep tonight Like a slumber party 'Cause we got them candles hanging Hanging from the ceiling low We use our bodies to make our own videos (oh, videos) Put on our music that makes us go fucking crazy, oh Go crazy, oh Like a slumber party We got them candles hanging Hanging from the ceiling low We use our bodies to make our own videos Put on our music that makes us go fucking crazy, oh (Go crazy, yeah) Go crazy, oh Like a slumber party (a slumber party) Like a slumber party (I go crazy for you) Like a slumber party"
